rel_id;change_type;category;restriction_old;restriction_new;except_old;except_new;from_ways;via;to_ways
21046735;restriction_added;turn_restriction;;restriction=no_left_turn;;;236074568;2441448190;1533794759
21102632;restriction_added;turn_restriction;;restriction=no_left_turn;;;1337755477;1190012169;1539415826
21102633;restriction_added;turn_restriction;;restriction=no_right_turn;;;1337755477;1190012169;1539415825
21102634;restriction_added;turn_restriction;;restriction=no_right_turn;;;128405190;1539415825;1539415827
21102635;restriction_added;turn_restriction;;restriction=no_left_turn;;;4044998;25376808;1539415826
21102636;restriction_added;turn_restriction;;restriction=no_left_turn;;;1190012169;14017304107;1539415826
21126009;restriction_added;turn_restriction;;restriction=no_left_turn;;;4820077;5873895641;545025874
21282925;restriction_added;turn_restriction;;restriction=no_left_turn;;;23638698;256090192;234380246
21302447;restriction_added;turn_restriction;;restriction=no_left_turn;;;1553867374;13986305694;1534992168
21302448;restriction_added;turn_restriction;;restriction=no_left_turn;;;1553867375;374382147;33141473
21319191;restriction_added;turn_restriction;;restriction=no_left_turn;;;1554599344;8391101803;1554599345
21319192;restriction_added;turn_restriction;;restriction=no_right_turn;;;25401486;8391101803;1554599346
21319193;restriction_added;turn_restriction;;restriction=no_left_turn;;bus;77809375;2110450762;1554599344
1918026;restriction_removed;turn_restriction;restriction=no_left_turn;;;;4629535;29381019;453704725
3346636;restriction_removed;turn_restriction;restriction=no_left_turn;;;;10157972;8520784640;118322527
3950968;restriction_removed;turn_restriction;restriction=no_left_turn;;;;297047766;1433464511;130038091
3950969;restriction_removed;turn_restriction;restriction=no_right_turn;;;;297047767;117514022;171874471
3950971;restriction_removed;turn_restriction;restriction=no_left_turn;;;;297047767;1433464515;130038092
4742871;restriction_removed;turn_restriction;restriction=no_u_turn;;;;335380591;366272426;335380591
5147764;restriction_removed;turn_restriction;restriction=only_straight_on;;;;502919618;352724888;121749536
6991748;restriction_removed;turn_restriction;restriction=no_straight_on;;;;374424852;60952010;475547250
6991749;restriction_removed;turn_restriction;restriction=no_u_turn;;;;374424852;60952010;374424852
7086323;restriction_removed;turn_restriction;restriction=only_straight_on;;;;896277265;105018422;11729750
7086326;restriction_removed;turn_restriction;restriction=only_left_turn;;;;111607206;1271133079;481388305
7086340;restriction_removed;turn_restriction;restriction=only_straight_on;;;;896277236;25339632;481388666
